Complexity,Loss,Equation
1,0.9999998,"-1.6372342e-6"
2,0.8776616,"sin(x2)"
3,0.7863011,"x2 * 0.46228912"
4,0.57144845,"sin(-4.6775584 * x2)"
6,0.5703799,"sin(x2 * -4.6770077) / 1.0501965"
7,0.56501716,"sin((0.8566893 / sin(x2)) + x5)"
8,0.5362398,"sin(x5 + ((1.0249724 / x2) - 0.34193626))"
10,0.53049463,"sin((x5 + (1.0251104 / x2)) - 0.20783843) + -0.13228759"
11,0.5260651,"sin(x5 + (sin((x2 + x2) + 0.7101978) / 0.7361576))"
12,0.52590024,"sin(x5 + (sin(-8.714765 + (x2 + x2)) / sin(-0.8422364)))"
13,0.51274306,"sin(x5 + (sin((x2 + x2) + cos(sin(x15))) / 0.7361576))"
14,0.5117765,"sin(x5 + (sin(0.6497241 + (x2 + x2)) / cos(sin(sin(x15)))))"
15,0.4976326,"sin(x5 + (sin((x2 + (x2 * 1.205788)) + cos(sin(x7))) / 0.6497241))"
17,0.49332166,"sin(x5 + (sin((x2 + (x2 * 1.205788)) + cos(sin(x7 / x2))) / 0.6497241))"
18,0.49150127,"sin(x5 + (sin((x2 + (x2 * 1.205788)) + cos(sin(x7 / x2))) / sin(0.7361576)))"
19,0.49004334,"sin(x5 + (sin((x2 + (x2 * 1.205788)) + cos(sin(x7 / x2))) / 0.6497241)) * 1.0915273"
